county_name,crime_rate_per_100000,index,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY
"Grant County, WA",293.8679553,912,1,4,2999,92160,86990,10,8,100,270,3617,5,47,48,170,907,2423,287,24,91878,53,25
"Carteret County, NC",293.7136511,913,1,4,1927,68041,68041,13,11,98.441,201,2050,4,30,20,147,618,1354,78,7,68434,37,31
"Dooly County, GA",293.6241611,914,1,4,439,14743,10421,4,2,100,42,168,0,1,5,36,38,125,5,0,14304,13,93
"Scott County, MS",293.5663,915,1,4,1476,28449,22729,3,2,84.6103,83,354,1,4,17,62,153,174,27,7,28273,28,123
"Surry County, NC",292.9500342,916,1,4,1997,74524,74444,8,5,99.6655,214,2266,7,15,28,164,679,1466,121,19,73050,37,171
"Davison County, SD",292.5894163,917,1,4,2405,19872,19872,2,2,100,58,450,0,19,3,36,62,364,24,3,19823,46,35
"Lewis and Clark County, MT",292.3260583,918,1,4,1637,64765,64765,4,3,100,191,1405,3,39,15,134,205,1135,65,11,65338,30,49
"Perry County, TN",292.2861863,919,1,4,2523,7963,7963,2,2,100,23,107,0,1,1,21,33,66,8,1,7869,47,135
"Glades County, FL",292.2442863,920,1,4,346,12807,12807,10,4,100,39,194,0,3,1,35,72,111,11,0,13345,12,43
"Jasper County, IL",291.9099249,921,1,4,642,9722,9722,2,2,100,28,106,0,1,0,27,27,72,7,1,9592,17,79
"Fairfield County, CT",291.8383154,922,1,4,312,910707,910707,24,23,100,2743,16303,33,485,948,1277,3214,11574,1515,65,939904,9,1
"Claiborne County, MS",291.7972549,923,1,4,1425,9606,9606,2,2,98.6397,27,247,2,5,5,15,136,90,21,4,9253,28,21
"Missoula County, MT",291.5738728,924,1,4,1644,110904,110904,3,3,100,326,3643,0,42,43,241,468,3028,147,18,111807,30,63
"Union Parish, LA",290.905836,925,1,4,1177,22866,22866,4,4,100,65,300,0,1,2,62,86,208,6,0,22344,22,111
"Mitchell County, GA",290.7355175,926,1,4,494,23670,23330,5,4,100,67,563,0,3,12,52,119,415,29,0,23045,13,205
"Macomb County, MI",290.7218207,927,1,4,1292,843036,842757,21,22,100,2485,18244,4,312,438,1731,3591,12722,1931,128,854769,26,99
"Terry County, TX",290.3554893,928,1,4,2773,12865,12865,2,2,100,37,225,0,3,7,27,80,138,7,2,12743,48,445
"Carbon County, MT",290.1353965,929,1,4,1617,10098,10098,4,4,100,30,123,0,7,0,23,24,90,9,2,10340,30,9
"Camp County, TX",290.018529,930,1,4,2582,12593,12593,2,2,100,36,339,0,5,3,28,106,226,7,4,12413,48,63
"Perry County, AR",289.9951667,931,1,4,165,10444,10444,2,2,100,30,171,0,4,1,25,37,127,7,0,10345,5,105
"Lake County, MI",289.8296153,932,1,4,1285,11547,11547,2,2,91.6667,33,274,0,11,0,22,140,130,3,2,11386,26,85
"Deer Lodge County, MT",289.4200879,933,1,4,1624,9364,9364,1,1,100,27,184,1,5,0,21,13,163,8,0,9329,30,23
"Custer County, OK",289.3420022,934,1,4,2174,27925,27921,4,4,94.5209,85,510,1,12,3,69,138,331,41,1,29377,40,39
"Franklin County, TN",289.3335603,935,1,4,2481,39942,41255,9,11,100,119,825,4,13,5,97,222,564,39,5,41129,47,51
"Grant County, KS",289.3081761,936,1,4,929,8005,8005,2,2,100,23,112,0,0,1,22,41,63,8,2,7950,20,67
"Humboldt County, CA",289.2343839,937,1,4,199,136011,136011,11,10,100,389,4850,2,39,130,218,1130,3212,508,48,134493,6,23
"Jasper County, SC",289.1584363,938,1,4,2369,25435,25435,8,6,100,77,810,9,14,25,29,201,547,62,8,26629,45,53
"Polk County, AR",289.1306478,939,1,4,169,20688,20688,2,2,100,59,587,1,9,3,46,214,360,13,8,20406,5,113
"Eureka County, NV",289.017341,940,1,4,1770,2005,2005,1,1,100,6,29,0,2,0,4,14,13,2,0,2076,32,11
"Clark County, WI",288.8920988,941,1,4,3091,36023,34831,3,4,100,100,275,0,0,1,99,80,177,18,4,34615,55,19
"Orange County, NY",288.8772924,942,1,4,1884,376895,376895,41,33,96.8446,1085,8471,9,68,377,632,1361,6868,242,35,375592,36,71
"Iredell County, NC",288.7239617,943,1,4,1960,162500,162799,7,6,99.9847,475,5148,1,31,89,354,1650,3251,247,19,164517,37,97
"Jerome County, ID",288.7092476,944,1,4,584,22836,22836,2,2,100,65,345,0,13,7,45,138,186,21,6,22514,16,53
"Mills County, IA",288.6680988,945,1,4,861,15050,15050,2,2,100,43,366,0,6,5,32,143,185,38,4,14896,19,129
"Jefferson County, MS",288.3733124,946,1,4,1446,7621,6061,2,1,100,22,42,0,1,0,21,12,30,0,1,7629,28,63
"Upshur County, TX",288.3361749,947,1,4,2780,37908,39245,5,5,100,115,1017,1,11,11,92,345,616,56,3,39884,48,459
"Yellowstone County, MT",288.0087181,948,1,4,1668,151113,151113,3,3,100,444,5639,3,40,73,328,975,4176,488,25,154162,30,111
"Blaine County, MT",287.7044216,949,1,4,1615,6611,5387,2,1,100,19,27,0,1,0,18,3,22,2,0,6604,30,5
"Crawford County, MI",287.6869965,950,1,4,1262,14024,14024,3,3,100,40,228,0,11,1,28,84,136,8,2,13904,26,39
"Miller County, GA",286.5812542,951,1,4,493,6207,6207,2,2,100,17,117,0,1,1,15,27,79,11,1,5932,13,201
"Kit Carson County, CO",286.176434,952,1,4,279,8255,8255,3,3,100,23,106,0,4,0,19,15,84,7,0,8037,8,63
"Greene County, IL",286.1545234,953,1,4,633,13804,12001,5,4,100,39,134,0,1,0,38,48,85,1,1,13629,17,61
"Allen County, IN",285.3884423,954,1,4,706,359449,359449,4,4,100,1036,11011,24,105,469,438,2308,8185,518,64,363014,18,3
"Richland County, MT",285.3575887,955,1,4,1654,10198,10198,2,2,100,32,229,0,1,2,29,50,153,26,1,11214,30,83
"Warren County, MO",284.8571169,956,1,4,1606,32315,32315,5,5,100,94,818,0,5,4,85,170,619,29,5,32999,29,219
"Hancock County, TN",284.4737236,957,1,4,2489,6793,6793,2,2,100,19,187,0,2,0,17,47,132,8,1,6679,47,67
"Elmore County, AL",284.2945786,958,1,4,26,80528,80484,7,8,99.6136,230,2117,4,23,44,159,665,1367,85,14,80902,1,51
"Chippewa County, MI",284.2671077,959,1,4,1259,38825,38825,4,4,100,110,615,1,17,1,91,126,462,27,5,38696,26,33
"Donley County, TX",283.9295855,960,1,4,2615,3706,3706,1,1,100,10,34,0,0,0,10,12,18,4,0,3522,48,129
"Washington County, IL",283.7763012,961,1,4,697,14420,11317,4,5,99.9912,41,99,0,0,1,40,30,69,0,0,14448,17,189
"Martinsville city, VA",283.5332606,962,1,4,2969,13708,13708,2,2,100,39,417,1,6,7,25,77,320,20,5,13755,51,690
"Northampton County, NC",283.1229905,963,1,4,1977,22110,17840,9,2,100,59,420,1,5,9,44,205,184,31,2,20839,37,131
"Lamb County, TX",283.1215971,964,1,4,2690,14379,13393,4,3,100,39,383,1,1,5,32,119,246,18,4,13775,48,279
"Barber County, KS",282.9997979,965,1,4,899,4913,4913,3,3,100,14,96,0,1,0,13,15,68,13,2,4947,20,7
"Levy County, FL",282.514378,966,1,4,362,40704,40704,14,8,100,112,958,0,18,5,89,323,590,45,1,39644,12,75
"Toombs County, GA",282.33051,967,1,4,531,27863,23279,3,2,100,77,879,3,8,14,52,235,610,34,1,27273,13,279
"Van Buren County, MI",282.2874561,968,1,4,1322,76189,76186,10,10,100,213,1633,0,50,13,150,418,1127,88,14,75455,26,159
"Humboldt County, NV",282.2092956,969,1,4,1771,16954,16954,2,2,100,49,197,2,0,2,45,62,111,24,2,17363,32,13
"Pettis County, MO",281.9571141,970,1,4,1577,42257,42257,3,3,100,119,1972,0,6,16,97,497,1389,86,9,42205,29,159
"Mingo County, WV",281.8532819,971,1,4,3056,26564,24660,11,5,100,73,294,3,2,5,63,86,177,31,1,25900,54,59
"St. Johns County, FL",281.4254437,972,1,4,380,198495,198495,13,7,100,590,4610,8,14,58,510,929,3514,167,4,209647,12,109
"Luzerne County, PA",281.1595018,973,1,4,2309,321171,321171,55,54,100,900,7907,17,88,233,562,1661,5892,354,55,320103,42,79
"Barry County, MO",281.119982,974,1,4,1502,38480,38480,9,10,100,100,1370,0,7,7,86,363,940,67,10,35572,29,9
"Broadwater County, MT",281.0962755,975,1,4,1616,5792,5792,1,1,100,16,44,0,2,0,14,3,40,1,2,5692,30,7
"Greene County, AR",280.762002,976,1,4,140,42882,42882,3,3,100,121,1855,2,15,17,87,685,1077,93,7,43097,5,55
"Washington County, FL",280.214425,977,1,4,392,25275,25275,12,6,100,69,400,0,3,4,62,100,283,17,2,24624,12,133
"Marion County, AL",280.2136217,978,1,4,47,31509,30786,8,9,99.2231,85,645,1,7,3,74,201,402,42,5,30334,1,93
"Yazoo County, MS",279.7403436,979,1,4,1496,27946,11347,2,1,100,78,514,1,7,16,54,252,239,23,0,27883,28,163
"Scott County, IN",279.4927415,980,1,4,776,24062,24062,4,4,82.2459,67,1055,2,10,8,46,274,756,25,1,23972,18,143
"Jasper County, GA",279.3912212,981,1,4,472,14033,11345,2,1,100,38,195,0,4,0,34,75,110,10,0,13601,13,159
"Harford County, MD",279.2769296,982,1,4,1215,248869,248869,5,5,100,696,4043,3,54,156,483,1020,2817,206,41,249215,24,25
"Glenn County, CA",279.1696492,983,1,4,198,28389,28389,5,5,100,78,732,0,2,7,69,230,400,102,7,27940,6,21
"Rensselaer County, NY",278.8929326,984,1,4,1890,160255,156736,17,9,99.9394,446,4131,9,29,130,278,964,3032,135,9,159918,36,83
"Warren County, IA",278.8575292,985,1,4,887,46946,46913,4,6,94.6745,132,650,0,21,0,112,226,383,41,19,47336,19,181
"Crook County, OR",278.6452078,986,1,4,2239,20987,20987,4,2,100,58,434,0,4,1,53,95,332,7,1,20815,41,13
"Imperial County, CA",278.6209396,987,1,4,200,178699,170868,12,9,100,492,6263,3,20,111,358,2037,3508,718,28,176584,6,25
"Hall County, NE",278.3267457,988,1,4,1710,59893,59893,3,3,100,169,2545,0,43,21,105,418,2037,90,17,60720,31,79
"Butts County, GA",278.2415136,989,1,4,411,23755,23755,2,2,100,65,559,0,10,12,43,118,392,49,0,23361,13,35
"Brown County, WI",278.09856,990,1,4,3086,252274,252056,8,8,100,708,4832,8,68,98,534,989,3685,158,15,254586,55,9
"Grand County, UT",277.7777778,991,1,4,2815,9451,9451,2,2,100,26,302,0,5,0,21,52,228,22,1,9360,49,19
"Houston County, TN",277.3757839,992,1,4,2497,8402,8402,2,2,100,23,115,0,0,1,22,35,65,15,1,8292,47,83
"Catron County, NM",277.2387025,993,1,4,1816,3739,3739,1,1,0,10,73,0,1,1,9,35,32,6,0,3607,35,3
"Mayes County, OK",276.933634,994,1,4,2203,41643,41643,5,5,88.6103,113,655,2,7,2,101,221,373,60,5,40804,40,97
"Pocahontas County, WV",276.8485408,995,1,4,3064,8786,7724,6,2,58.3333,24,71,0,2,1,21,26,43,2,1,8669,54,75
"Luce County, MI",276.837896,996,1,4,1290,6589,6589,2,2,100,18,71,0,2,1,15,24,45,2,0,6502,26,95
"Benewah County, ID",276.42636,997,1,4,562,9271,9271,2,2,100,25,77,0,0,1,24,37,35,5,2,9044,16,9
"Mason County, MI",276.1754938,998,1,4,1295,28699,28699,4,4,100,79,920,2,33,1,43,147,744,29,7,28605,26,105
"Hardee County, FL",276.172826,999,1,4,349,28267,28267,12,6,100,76,736,1,9,12,54,229,471,36,0,27519,12,49
